community,parish,sub_county,source_id,repair_date,population_served,well_depth,static_water_depth,pump_installation_depth,well_yield_(m^3/hr)
Katikamu Proper ,BUKOLWA,Wobulenzi Tc,1304,2023-06-02,336,39.62,21.03,27.43,10.92
Kiduukulu,MAKULUBITA,Makulubita,1385,2023-06-08,166,28.65,,27.43,
Busula B,MUSAALE,Katikamu,1384,2023-06-09,781,0,0,21.34,0
Bukusu-Makulubita 'B' ,MAKULUBITA,Makulubita,1471,2023-07-13,166,64.01,14.02,30.48,15.66
Kitto ,TWEYANZE,Katikamu,1419,2023-06-02,738,40.23,13.72,24.38,12
Timba ,NGALONKALU,Zirobwe,1461,2023-07-15,773,45.72,12.19,39.62,5.7
Masinga ,KYAMPOLOGOMA,Kikyusa,1388,2023-07-14,390,69.88,24.38,45.72,
Kiiso,KABUNYATA,Kamira,1389,2023-07-14,0,70.1,30.48,48.77,
Nsozibiri,KIGOMBE,Luwero,1456,2023-07-14,479,21.34,6.1,21.34,0
Katikamu SDA ,KATIKAMU,Wobulenzi Tc,1483,2023-08-11,"2,815",64.01,25.91,33.53,8.4
Mpumudde,WALULEETA,Makulubita,1485,2023-08-11,538,33.53,17.98,27.43,8.4
Kyakula,MABUYE,Kamira,1486,2023-08-27,86,76.2,30.48,42.67,9.24
Ntinda-Buligwe LC1 ,KAGOGO,Makulubita,1506,2023-08-26,141,57.91,24.38,39.62,12
Mulira,NSAVU,Makulubita,795,2023-09-15,448,39.62,14.94,30.48,9.24
Lukira,KYALUGONDO,Katikamu,1484,2023-08-12,64,42.67,18.29,30.48,10.92
Kasoma Zone (LC1),LUWERO WEST WARD,Luwero Tc,1490,2023-11-06,"5,009",60.26,19.29,30.48,18
Kkungu LC1,KIKOMA,Katikamu,1477b,2023-11-25,0,69.68,,,
Semyungu ,MPWEDDE,Kasangombe,1194,2022-09-30,422,53.64,21.34,33.53,0
Kasozi ,LUGO,Busukuma,989,2021-12-15,608,30.48,64.01,39.62,
Kiwenda - Nazaleesi,KIWENDA,Busukuma,991,2021-12-15,454,48.16,22.25,42.67,
